scene	item	shown	exact	source	how_read
3	caption 4	at 850 s it had two	850 s, ids 402 and 403	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	birth rows p=201: 402 at 850, 403 at 850
3	caption 4	for 129 J	129.37 J (price); drop 129.3 J	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl + snapshot 2500	price per child = share 14.687 (investment 0.7159 x tissue 41.034 / brood 2) + fee 50 = 64.69 J; x2 = 129.37; reserve 139.054 at 840 + 10 s x ~0.43 W = 143.3, 14.004 at 850
3	caption 4	the 14 J cushion	14.004 J left; margin 51.21 s x 0.2736 W = 14.01 J	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl + snapshot 2500	energy at t 850 = 14.0037; genome reproduction.margin 51.2128; upkeepW at 850 0.2736
3	caption 5	upkeep rises with age	wear 1 + age/3000	Metabolism.cs; config senescence 3000 s; D121	201 upkeep 0.2736 W at age 327 s, 0.409 at 1,977, 0.467 at 2,683.5; /(1+age/3000) = 0.247, 0.247, 0.247
3	caption 5	drifted down into dimmer light	y -3.16 m at 2,500 s, -13.81 at 3,000, -15.02 at death; lightW 0.539 -> 0.265 -> 0.226	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	rows id 201 t 2500, 3000, 3206.5. Why it sank is not read: the current carries bodies in three dimensions (D088, D090), which is a guess at the cause
3	caption 6	starved at 3,207 s	3,206.5 s, cause starved	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	death row id 201 t 3206.5 c 'starved'; energy 0 in its last absorptive row
3	chart	reserve over its life	269 points, t 530..3206.5	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl	every row with id 201: [t, energy]; values: [[530, 2.5], [540, 3.71], [550, 15.6], [560, 26.13], [570, 32.85], [580, 43.1], [590, 55.75], [600, 65.16], [610, 71.85], [620, 76.91], [630, 80.99], [640, 84.43], [650, 86.49], [660, 87.96], [670, 89.3], [680, 90.49], [690, 91.55], [700, 92.49], [710, 93.34], [720, 94.14], [730, 94.88], [740, 95.6], [750, 97.6], [760, 102.29], [770, 106.74], [780, 111.17], [790, 115.71], [800, 120.43], [810, 125.29], [820, 130.05], [830, 134.62], [840, 139.05], [850, 14.0], [860, 25.23], [870, 30.97], [880, 35.03], [890, 38.33], [900, 40.76], [910, 43.11], [920, 45.15], [930, 46.27], [940, 47.11], [950, 47.98], [960, 48.8], [970, 49.61], [980, 50.43], [990, 51.19], [1000, 51.91], [1010, 52.73], [1020, 53.75], [1030, 54.48], [1040, 55.11], [1050, 55.72], [1060, 56.33], [1070, 56.93], [1080, 57.47], [1090, 57.95], [1100, 58.37], [1110, 58.73], [1120, 59.02], [1130, 59.26], [1140, 59.46], [1150, 59.63], [1160, 59.79], [1170, 59.87], [1180, 59.83], [1190, 59.76], [1200, 59.68], [1210, 59.58], [1220, 59.48], [1230, 59.39], [1240, 59.3], [1250, 59.22], [1260, 59.17], [1270, 59.14], [1280, 59.12], [1290, 59.1], [1300, 59.06], [1310, 59.01], [1320, 58.97], [1330, 59.44], [1340, 60.16], [1350, 60.62], [1360, 60.91], [1370, 61.12], [1380, 61.24], [1390, 61.25], [1400, 61.2], [1410, 61.37], [1420, 61.48], [1430, 61.55], [1440, 61.62], [1450, 61.64], [1460, 61.6], [1470, 61.53], [1480, 61.45], [1490, 61.36], [1500, 61.24], [1510, 61.13], [1520, 61.03], [1530, 60.97], [1540, 60.85], [1550, 60.69], [1560, 60.53], [1570, 60.37], [1580, 60.17], [1590, 59.91], [1600, 59.64], [1610, 59.36], [1620, 59.1], [1630, 58.99], [1640, 58.85], [1650, 58.72], [1660, 58.62], [1670, 58.55], [1680, 58.5], [1690, 58.44], [1700, 58.34], [1710, 58.18], [1720, 57.96], [1730, 57.7], [1740, 57.49], [1750, 57.33], [1760, 57.07], [1770, 56.83], [1780, 56.59], [1790, 56.39], [1800, 56.23], [1810, 56.09], [1820, 55.96], [1830, 55.83], [1840, 55.7], [1850, 55.55], [1860, 55.36], [1870, 55.15], [1880, 54.93], [1890, 54.7], [1900, 54.46], [1910, 54.23], [1920, 53.99], [1930, 53.75], [1940, 53.48], [1950, 53.22], [1960, 53.28], [1970, 53.38], [1980, 53.47], [1990, 53.56], [2000, 53.65], [2010, 53.73], [2020, 53.81], [2030, 53.78], [2040, 53.3], [2050, 52.62], [2060, 51.84], [2070, 51.0], [2080, 50.2], [2090, 49.64], [2100, 49.27], [2110, 48.94], [2120, 48.64], [2130, 48.33], [2140, 47.64], [2150, 46.92], [2160, 46.12], [2170, 45.58], [2180, 45.14], [2190, 44.66], [2200, 43.95], [2210, 43.32], [2220, 42.57], [2230, 41.95], [2240, 41.39], [2250, 40.89], [2260, 40.38], [2270, 39.68], [2280, 39.06], [2290, 40.66], [2300, 41.11], [2310, 41.23], [2320, 41.22], [2330, 40.81], [2340, 40.67], [2350, 40.83], [2360, 40.99], [2370, 41.18], [2380, 41.34], [2390, 41.51], [2400, 41.61], [2410, 41.69], [2420, 41.69], [2430, 41.85], [2440, 41.88], [2450, 41.87], [2460, 41.77], [2470, 42.73], [2480, 43.5], [2490, 44.1], [2500, 44.64], [2510, 45.12], [2520, 45.53], [2530, 45.82], [2540, 46.05], [2550, 46.17], [2560, 46.21], [2570, 46.06], [2580, 46.06], [2590, 47.19], [2600, 48.49], [2610, 49.68], [2620, 51.14], [2630, 52.54], [2640, 53.86], [2650, 55.09], [2660, 56.66], [2670, 58.55], [2680, 60.27], [2690, 61.77], [2700, 63.06], [2710, 64.17], [2720, 65.19], [2730, 66.28], [2740, 67.56], [2750, 69.15], [2760, 71.16], [2770, 73.59], [2780, 76.86], [2790, 80.03], [2800, 82.99], [2810, 85.85], [2820, 87.56], [2830, 89.04], [2840, 91.78], [2850, 94.86], [2860, 97.31], [2870, 99.1], [2880, 98.76], [2890, 94.36], [2900, 89.96], [2910, 85.55], [2920, 81.13], [2930, 76.7], [2940, 72.26], [2950, 67.82], [2960, 63.99], [2970, 61.35], [2980, 58.83], [2990, 56.43], [3000, 54.15], [3010, 51.94], [3020, 49.74], [3030, 47.51], [3040, 45.24], [3050, 42.92], [3060, 40.54], [3070, 38.1], [3080, 35.57], [3090, 32.96], [3100, 30.27], [3110, 27.52], [3120, 24.72], [3130, 21.88], [3140, 19.0], [3150, 16.1], [3160, 13.19], [3170, 10.29], [3180, 7.4], [3190, 4.55], [3200, 1.74], [3206.5, 0]]
3	chart marks	full grown 550; two children 850; we met it here 2500; starved 3206.5	550, 850, 2500, 3206.5	runs/r48-s1/2026-09-24-115115-e5a30c15/absorptive.jsonl; lineage.jsonl	tissue reaches 41.034 at t 550; births of 402/403 at 850; the Portrait scene second; death row
4	caption 2	a share of its own body's worth	share = investment x tissue / brood = 0.7159 x 41.034 / 2 = 14.69 J	snapshot 2500 + absorptive.jsonl id 201; World.Conceive	BirthInvestment x parent TissueJoules / BroodSize, capped at the child's adult / 0.8
4	caption 3	four fifths body, one fifth reserve	newbornReserveFraction 0.2	runs/r48-s1/2026-09-24-115115-e5a30c15/config.json; World.Conceive	reserve = share x 0.2; body value = share - reserve
4	caption 4	fee twice the child's body, at least 50 J, burnt	max(50, 2 x tissue)	runs/r48-s1/2026-09-24-115115-e5a30c15/config.json; RunConfig.OverheadFor; World.Conceive	economy.perOffspringOverheadJoules 50, perOffspringOverheadPerTissueJoule 2; the overhead leaves as heat (EnergyOut) and its matter returns dissolved
4	chart	the child's body	11.750 J	snapshot 2500 + absorptive.jsonl id 201	share 14.687 x 0.8
4	chart	its first reserve	2.937 J	snapshot 2500 + absorptive.jsonl id 201	share 14.687 x 0.2
4	chart	the fee, burnt	50 J	runs/r48-s1/2026-09-24-115115-e5a30c15/config.json	max(50, 2 x 11.75 = 23.5) = 50
5	caption 1	three tanks, the same rules	config hash e5a30c15 in all three run directory names	runs/r48-s*/*-e5a30c15	the three seeds of round 48
5	caption 2	30,000 s, about eight hours	30,000 s = 8.33 h	runs/r48-s1, r48-s3 run.json	the budget; seed 2 stopped at 13,700 s (said in scene 19)
5	caption 2	tank 3 at 3,000 s	r48-s3 t 3000	runs/r48-s3/2026-09-24-160650-e5a30c15	the scene second, a checkpoint (every 500 s in seed 3)
6	caption 1	most snow leaks from living leaves	75.9% of snow joules over the whole run (s1 75.4%, s2 73.8%)	runs/r48-s3/2026-09-24-160650-e5a30c15/stats.jsonl	last row: detritusExudedTotal / (Exuded + Deposited + Returned)
6	caption 1	15% of what they catch	exudationFraction 0.15	runs/r48-s3/2026-09-24-160650-e5a30c15/config.json	feeding.exudationFraction; 201 at 2,500 s: exudedW 0.08088 / lightW 0.53922 = 0.150
6	caption 2	the rest comes from the dead	24.1%	runs/r48-s3/2026-09-24-160650-e5a30c15/stats.jsonl	detritusDepositedTotal / total; Deposited counts corpse instalments and shed parts (World.cs, WorldModules.cs)
6	caption 2	a corpse crumbles into snow	corpseDecayPerSecond 0.005	runs/r48-s3/2026-09-24-160650-e5a30c15/config.json	World.StepCorpses; half-life ln2/0.005 = 139 s
6	chart	leaked by leaves	75.85%	runs/r48-s3/2026-09-24-160650-e5a30c15/stats.jsonl	detritusExudedTotal 4154977.9 J at t 30000
6	chart	from the dead	24.14%	runs/r48-s3/2026-09-24-160650-e5a30c15/stats.jsonl	detritusDepositedTotal 1322172.3 J at t 30000; feeders' waste 416.6 J (0.008%) not drawn
7	caption 5	an eater: a stomach and no leaf	flags abs 1, pho 0	scripts/guide.py GENERA	the guide's stomach genera (Gastrella, Phagus, Voratrix, Stomachium) are abs 1 pho 0 jnt 0; this film calls those eaters
7	caption 1	a line: a family with the same kinds of part	rule	scripts/guide.py build_clades	clade membership by equal (abs, jnt, pho) flags along the parent chain
7	caption 2	Thallus legatribens, 217 alive	217	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	clade 63 (guide rule) alive at 3000; flags (0,0,1), leaves
7	caption 3	the first word tells the kind of body	rule	scripts/guide.py GENERA	leaf: Phyllina, Thallus, Lamina, Frondium; eater: Gastrella, Phagus, Voratrix, Stomachium; leaf+stomach: Mixophyllum, Gastrophylla, Phagothallus, Vorafrons; jointed eater: Remiphagus, Nectophaga, Pinnivora, Natogastrum; jointed leaf: Remiphylla, Nectothallus, Pinnifrons, Natophyllum; a Roman numeral, then a number past X, marks a repeated name
7	caption 4	gains or loses a leaf, stomach or joint: a new line	rule	scripts/guide.py build_clades	a child whose (abs, jnt, pho) differ from its parent founds a clade
7	caption 6	last round, no line of eaters lasted	round 47 F3: 0 of 3	logbook/0119-a-stomach-on-a-plant-and-paying-as-you-go.md	F3 row: round 47 0 of 3
7	caption 7	four rules	D119, D120, D121, D122	DECISIONS.md	the bud; gestation and the scaled fee; senescence on upkeep alone; founders at their food with an endowment
7	caption 8	a line of eaters, ten strong at the end	>= 10 living at 30,000 s in 1 of 3	logbook/0119 F3	ten or more living bodies rooted in pool founders at 30,000 s
7	caption 9	a leaf that grew a stomach and kept it	>= 10 living in a budded stomach's line at 30,000 s in 1 of 3	logbook/0119 M3	a connected clade whose first member carries an absorptive bud (abs 1, pho 1)
8	caption 3	newcomers about every 30 s (random founders)	foundingTricklePerSecond 0.0333	runs/r48-s3/2026-09-24-160650-e5a30c15/config.json	Poisson trickle after the floor closes at 3,000 s (floorClosesAfterSeconds 3000)
8	caption 3	one in ten is a stored eater	foundingTricklePoolShare 0.1, pool of 4	runs/r48-s3/2026-09-24-160650-e5a30c15/config.json	World.PoolFounder; the four pool genomes are stomach bodies (logbook/0119 ledger table)
8	caption 1	body 3318 is a newcomer, an eater copied from past rounds (one part, no leaf, on screen)	parts 1, absVolume = volume 0.0899 m3, lightW 0	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	row id 3318 t 3500; lineage abs 1 jnt 0 pho 0; pool index 0 (one-part sphere)
8	caption 2	bred 11.5 s in	child 3392 born 3,511.5 s	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	3511.5 - 3500 = 11.5; gate: reserve 94.16 + 0.749 W x 11.5 s = 102.8 >= 18.67 + 50 + 88.28 s x 0.378 W = 102.1
8	caption 4	eats 1.25 J a second, pays 0.50 J	foodW 1.2520, upkeepW 0.5035	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	row id 3318 t 3500 (upkeepW includes handling at 0.1 J per J eaten)
8	caption 5	rule four: lands at the richest depth for its food	D116, D122	DECISIONS.md; World.EnsureFounderAcceptance / FoodOf	a column is accepted with probability its stock over the richest column's; the founder is placed at that column's richest layer. F4 read only 19 to 21% of pool founders first fed at or above their column's mean (logbook r48 read), so this is the rule, not a measured outcome
8	caption 6	landed 157 s ago	age 156.5 s	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	row id 3318 t 3500
8	caption 6	66 J of its own	66.454 J	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl + config	founderEnergyJoules 200 x bf 0.33226845
8	caption 6	a gift of 72 J	71.693 J	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	founder row 'endow' 71.6934 (600 s x its standing watts at its landing size)
8	caption 7	half a second later: full grown (30 J of growth)	30.02 J	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl + lineage	adult tissue 44.952 (rows from 3350) - landing tissue 0.33227 x 44.952 = 14.936
8	caption 7	and had a child (3319 at 3,344 s; 69 J)	68.67 J	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl + snapshot 3500	child 3319 born 3,344 s, bf 0.33227 (adult 44.952 at 3370); share = investment 0.41534 x 44.952 / brood 1 = 18.67; body 14.94 + reserve 3.73 + fee max(50, 29.9) = 50
8	caption 8	that cost 99 J, more than its own 66 J; the gift paid	30.02 + 68.67 = 98.69 J > its own 66.45 J	the two rows above	arithmetic; with the gift, 138.15 J >= 98.69 J
8	chart	account: body 3318, live	94.16 J at 3,500 s (the run)	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	drawn live from the cousin
9	caption 1	24 alive	24	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	clade of 3318 (guide rule) alive at 4000; every one of its 30 members ever had flags (1,0,0)
9	caption 1	11 minutes on	656.5 s	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	4000 - 3343.5
9	caption 2	a typical stored eater lived about five minutes (median)	312, 297.75, 335 s	runs/r48-s*/lineage.jsonl	pool founders (src 'pool') that died, median age at death; s1 99 arrived 97 died, s2 29/28, s3 84/84
9	caption 3	last round under one minute	46, 24, 42 s	logbook/0119 F1 row	round 47
9	caption 3	56 of them bred	30 + 8 + 18	runs/r48-s*/lineage.jsonl	pool founders with at least one child; 54 of the 56 were pool index 0, the one-part sphere
9	chart	tank 1, last round	46 s	r47: logbook/0119 F1; r48: lineage.jsonl	median age at death of pool founders
9	chart	tank 1, this round	312 s	r47: logbook/0119 F1; r48: lineage.jsonl	median age at death of pool founders
9	chart	tank 2, last round	24 s	r47: logbook/0119 F1; r48: lineage.jsonl	median age at death of pool founders
9	chart	tank 2, this round	298 s	r47: logbook/0119 F1; r48: lineage.jsonl	median age at death of pool founders
9	chart	tank 3, last round	42 s	r47: logbook/0119 F1; r48: lineage.jsonl	median age at death of pool founders
9	chart	tank 3, this round	335 s	r47: logbook/0119 F1; r48: lineage.jsonl	median age at death of pool founders
10	caption 1	the same stored eater at 4,057 s	pool index 0 in both; born 4057	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	founder rows 4185 (s1) and 3318 (s3) both 'pool': 0, bf 0.33226845, endow 71.6934
10	caption 1	it bred at once too	child 4186 at 4,057.5 s	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	birth row p=4185; half a second after landing, as 3318 in tank 3
10	caption 2	the third of that name here	III	runs/r48-s1/2026-09-24-115115-e5a30c15/guide/guide.json	cards 'Gastrella cidutis' (3,336.5 s), 'II' (3,345 s), 'III' (4,057 s); the guide numbers lines that share a name in founding order
10	caption 3	reached 45	45 at 5,903.5 s (45 at 6,000 s)	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	event sweep of clade 4185; count at 6000 = 45
10	caption 3	the largest eater line of any tank	s1 45, s2 2, s3 26	runs/r48-s*/lineage.jsonl	largest clade with flags (1,0,0), whole runs (first story checks.tsv row 9, re-read)
10	caption 4	the same tank had a jointed eater line, Natogastrum plocrele	founder 3575, trickle, 3,462.5 s; peak 14 at 7,391.5 s (on the chart in scene 12)	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	event sweep of clade 3575; flags abs 1, jnt 1, pho 0, pt 2; at 5,000 s it also earned 0.349 W of light through its link (links photosynthesise at 0.025, half a leaf)
10	caption 5	a joint driven by the brain	rule	StandardCellTypes.cs LinkCell; Brain.cs	the link is the only type that may carry a moving joint; the brain drives the joints
11	caption 1	the last of Gastrella cidutis	line alive at 6500 = [3559]; last death 6,544.5	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	clade of 3318
11	caption 2	2,655 s old	2,654.5 s	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	row id 3559 t 6500
11	caption 2	doubling by 3,000 s	wear = 1 + age/3000	D121; Metabolism.cs; config senescence doubling 3000 s	at age 3,000 s the factor is 2
11	caption 3	pays 0.73 J a second	0.7325 W	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	upkeepW, including handling 0.1 x 0.547 = 0.055 W
11	caption 3	young, the line's first body paid 0.50 J	0.5035 W at age 156.5 s	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	row id 3318 t 3500 (handling 0.125 W of it); standing costs 0.678 and 0.378 W, ratio 1.79 = (1+2654.5/3000)/(1+156.5/3000)
11	caption 4	the snow here is thinner	densityHere 0.609 J/m3 against 1.393 for 3318 at 3,500 s	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	rows 3559@6500 and 3318@3500
11	caption 4	eats 0.55 J a second	0.5472 W	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	foodW
11	caption 5	reserve 9 J	9.256 J	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	energy; netW -0.185
11	caption 6	starved 44.5 s from here	6,544.5 - 6,500	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	death row id 3559 t 6544.5 c 'starved'
11	caption 7	no living body eaten	bodiesEaten 0, 0, 0	runs/r48-s*/stats.jsonl	last rows (corpsesEaten 3, 5, 2: a few corpses were bitten)
11	caption 7	every death was starving	starved 67,036 / 22,504 / 47,414; nothing else	runs/r48-s*/lineage.jsonl	death rows' cause 'c'; diverged 0 in all three
11	chart	account: body 3559, live	9.26 J at 6,500 s (the run)	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	drawn live from the cousin
12	caption 2	gone by 10,912 s	10,912 s	runs/r48-s1/2026-09-24-115115-e5a30c15/guide/guide.json; lineage.jsonl	last death in clade 3575
12	caption 3	no stored eater had a line alive at the end	living pool-rooted bodies at the ends are founders only	runs/r48-s*/lineage.jsonl	parent walk to a pool founder, alive at the last sample; F3 0 of 3
12	caption 5	thinned the snow around them (guess)	1.39 against 0.61 J/m3	runs/r48-s3/2026-09-24-160650-e5a30c15/absorptive.jsonl	two rows only; not a measurement across the lines
12	chart	Gastrella cidutis, tank 3	peak 26	lineage.jsonl	counts at 3000..11000 every 100 s: [0, 0, 0, 0, 3, 5, 8, 12, 17, 21, 24, 26, 25, 26, 25, 22, 19, 15, 15, 14, 15, 15, 15, 12, 9, 7, 6, 5, 4, 4, 3, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	chart	Gastrella cidutis III, tank 1	peak 45	lineage.jsonl	counts at 3000..11000 every 100 s: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 3, 3, 4, 6, 7, 8, 10, 11, 15, 20, 22, 29, 36, 38, 44, 45, 44, 43, 41, 40, 38, 35, 30, 27, 28, 27, 27, 25, 23, 20, 17, 14, 11, 6, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
12	chart	Natogastrum plocrele, tank 1	peak 14	lineage.jsonl	counts at 3000..11000 every 100 s: [0, 0, 0, 0, 0, 1, 2, 2, 3, 3, 4, 5, 5, 5, 5, 4, 4, 5, 5, 5, 7, 7, 7, 6, 6, 4, 6, 6, 8, 8, 8, 8, 9, 9, 9, 9, 9, 11, 10, 10, 10, 10, 10, 9, 14, 12, 12, 12, 12, 12, 9, 7, 6, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 6, 6, 6, 5, 5, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0]
12	chart mark	body 3559 starves	6,544.5 s	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	death row id 3559
13	caption 1	nearly half each	1,315 (46%) and 1,386 (48%) of 2,859	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl; stats.jsonl	clades 39 and 43 at t 10000
13	caption 2	two big children at a time	median investment 0.911, brood 2	runs/r48-s1/2026-09-24-115115-e5a30c15/snapshots/000010000.jsonl	members of clade 39
13	caption 3	one small child	median investment 0.0703, brood 1	runs/r48-s1/2026-09-24-115115-e5a30c15/snapshots/000010000.jsonl	members of clade 43
13	caption 4	38% and 6% of adult size	0.3847 and 0.0563	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	median 'bf' of birth rows in each clade, 5,000 to 15,000 s
13	chart	marufubens	38.5%	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	as caption 4
13	chart	nisimocrax	5.6%	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	as caption 4
14	caption 2	peaked at 1,441, fell to 2	1,441 at 11,460 s; 2 at 30,000 s	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	exact event sweep (the first story said 1,439 at 11,470 s from the guide's 10 s positions)
14	caption 3	8,461 of 8,618	8,461; 8,618	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl; stats.jsonl	clade 43 at 30000; stats alive at 30000
14	caption 4	led at 2,500 s by 773 to 134	773; 134	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	clades 43 and 39 at 2500
14	chart	Frondium nisimocrax, small children	61 points	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	alive every 500 s: [0, 5, 69, 513, 733, 773, 669, 639, 697, 788, 953, 1080, 1175, 1338, 1399, 1360, 1337, 1358, 1418, 1473, 1386, 1409, 1470, 1643, 1831, 2059, 2335, 2458, 2644, 2750, 2969, 3161, 3301, 3228, 3313, 3531, 3923, 4337, 4540, 4642, 4805, 5084, 5435, 5652, 5913, 6110, 6333, 6633, 6908, 7226, 7511, 7781, 7951, 7923, 8139, 8232, 8218, 8207, 7928, 8238, 8461]
14	chart	Frondium marufubens, big children	61 points	runs/r48-s1/2026-09-24-115115-e5a30c15/lineage.jsonl	alive every 500 s: [0, 91, 182, 191, 163, 134, 138, 125, 121, 145, 212, 289, 381, 502, 676, 846, 996, 1175, 1323, 1425, 1315, 1341, 1393, 1433, 1389, 1418, 1326, 1196, 1032, 939, 829, 691, 616, 561, 494, 417, 338, 290, 236, 187, 156, 122, 108, 93, 81, 68, 62, 45, 38, 28, 28, 23, 17, 9, 7, 6, 5, 4, 2, 3, 2]
15	caption 2	children at 59% of adult	0.5862	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	median 'bf', clade 63, births 20,000 to 30,000 s
15	caption 2	6,165 at the end	6,165	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	clade 63 at 30000
15	caption 3	children at 9%	0.0885	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	median 'bf', clade 3, births 20,000 to 30,000 s
15	caption 3	2,340 at the end	2,340	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	clade 3 at 30000
15	caption 4	I don't know why; the winner led early, 280 to 30	280; 30 at 2,500 s	runs/r48-s3/2026-09-24-160650-e5a30c15/lineage.jsonl	clades 63 and 3 at 2500
